name,price,condition,brand,model,memory,powerPerformance,category,performance_score
SAPPHIRE AMD Radeon RX 5700 XT 8 GB,151.96,Pre-Owned,SAPPHIRE,Radeon RX 5700 XT,8,75.08,Desktop,13221
EVGA NVIDIA GeForce RTX 2060 8 GB,150,Pre-Owned,EVGA,GeForce RTX 2060,8,87.2,Desktop,10736.5
ASUS NVIDIA GeForce GTX 1660 SUPER 6 GB,100,Pre-Owned,ASUS,GeForce GTX 1660 SUPER,6,101.85,Desktop,10481
NVIDIA NVIDIA GeForce RTX 3080 10 GB,450,Pre-Owned,NVIDIA,GeForce RTX 3080,10,77.66,Desktop,17441.5
EVGA NVIDIA GeForce RTX 3060 12 GB,205,Pre-Owned,EVGA,GeForce RTX 3060,12,99.76,Desktop,13234
MSI NVIDIA GeForce GTX 1660 Ti 6 GB,120,Pre-Owned,MSI,GeForce GTX 1660 Ti,6,98.29,Desktop,9407
ZOTAC NVIDIA GeForce RTX 3060 12 GB,215,Open Box,ZOTAC,GeForce RTX 3060,12,99.76,Desktop,13234
GIGABYTE NVIDIA GeForce RTX 3060 12 GB,217,Open Box,GIGABYTE,GeForce RTX 3060,12,99.76,Desktop,13234
SAPPHIRE AMD Radeon RX 5700 XT 8 GB,150,Pre-Owned,SAPPHIRE,Radeon RX 5700 XT,8,75.08,Desktop,13221
MSI NVIDIA GeForce RTX 3080 12 GB,598,Pre-Owned,MSI,GeForce RTX 3080,12,77.66,Desktop,17441.5
EVGA NVIDIA GeForce RTX 3070 8 GB,262,Pre-Owned,EVGA,GeForce RTX 3070,8,100.42,Desktop,15891.5
NVIDIA NVIDIA GeForce RTX 2080 8 GB,215,Open Box,NVIDIA,GeForce RTX 2080,8,74.93,Desktop,13951
ASUS NVIDIA GeForce GTX 1050 Ti 4 GB,114.99,Brand New,ASUS,GeForce GTX 1050 Ti,4,84.18,Desktop,6412
XFX AMD Radeon RX 580 8 GB,55,Pre-Owned,XFX,Radeon RX 580,8,48.14,Desktop,8313.5
GIGABYTE NVIDIA GeForce RTX 3080 Ti 12 GB,550,Pre-Owned,GIGABYTE,GeForce RTX 3080 Ti,12,76.82,Desktop,18598.5
EVGA NVIDIA GeForce RTX 3060 12 GB,229,Pre-Owned,EVGA,GeForce RTX 3060,12,99.76,Desktop,13234
MSI NVIDIA GeForce GTX 1660 6 GB,65,Pre-Owned,MSI,GeForce GTX 1660,6,97.46,Desktop,9827.5
PNY NVIDIA GeForce GTX 1070 Ti 8 GB,125,Pre-Owned,PNY,GeForce GTX 1070 Ti,8,80.56,Desktop,11635
EVGA NVIDIA GeForce GTX 1080 Ti 11 GB,145.5,Pre-Owned,EVGA,GeForce GTX 1080 Ti,11,73.14,Desktop,13812
PNY NVIDIA GeForce GTX 1070 8 GB,69.99,Pre-Owned,PNY,GeForce GTX 1070,8,89.88,Desktop,11026
NVIDIA NVIDIA GeForce RTX 3070 8 GB,238.5,Pre-Owned,NVIDIA,GeForce RTX 3070,8,100.42,Desktop,15891.5
